img,sigma,H,AU1,AU2,AU3,AU4,AU5,AU6,AU7,AU8,AU9,AU10,AU11,AU12,AU13,AU14,AU15,AU16,AU17,AU18,Pose1,Pose2,Pose3,Pose4,Pose5,Pose6,Pose7,Pose8,Pose9,Pose10,Pose11,Pose12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
image_075.png,0.44478935,0.5735160112380981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.87443,146.54001,76.912155,143.42216,116.346954,115.887794,34.57826,121.54977,128.21446,89.425964,108.36839,134.8012
image_070.png,0.60600317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.491825,171.3886,61.40466,127.78307,124.482574,90.26408,19.85233,127.054184,126.73371,84.27472,113.605965,155.96791
flipped_image_007.png,0.531426,1.2424533367156982,0.14417404,0.020764189,0.032861203,0.5047857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.66039,159.44641,62.955566,32.373177,123.71286,137.69022,96.02519,121.452095,165.77946,149.44281,111.47044,159.8655
image_008.png,0.37484157,1.7009204626083374,0.088742174,0.06237629,0.9643008,0.57256514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.47071,149.25404,75.45939,44.89536,124.64825,128.96884,155.24612,121.05505,136.68027,115.46968,125.433464,158.83328
flipped_image_073.png,0.47516984,1.0775562524795532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.517395,141.87492,78.774826,18.629627,127.07403,128.28563,184.74197,117.32133,122.91374,83.24501,130.36986,165.65266
flipped_image_065.png,0.5008393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.35461,147.05441,75.39251,120.45518,118.79844,106.54373,33.46222,126.77071,130.58183,77.04581,134.1515,159.66228
flipped_image_127.png,0.61841035,0.0,0.09921519,0.038314745,0.0027505576,0.48121622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.74372,152.60736,71.670006,102.3975,127.593864,88.63566,73.44887,120.78917,130.10878,34.87333,116.1283,136.94339
flipped_image_080.png,0.38677785,2.7656028270721436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.90307,121.36503,115.47023,123.14511,117.881485,115.653404,163.54745,116.49464,117.45838,41.19981,123.19721,126.34562
image_019.png,0.38318205,1.8703006505966187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.50686,149.11324,71.80793,40.249084,131.47028,107.9661,158.09885,118.81499,117.216034,128.52762,120.80313,144.88303
image_114.png,0.42562106,1.992109775543213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.5361,161.9073,62.940125,138.55759,126.06103,100.025734,16.15041,128.35292,125.545166,218.10579,126.98163,129.45271
flipped_image_137.png,0.49814892,2.551654100418091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.49567,113.81001,92.73707,37.383564,119.87748,137.79863,84.80675,112.82343,152.96446,136.74684,107.16193,156.03372
